is Send = 0 
Time while receiving 1
Time while receiving 1
Time while receiving 1
Time while receiving 1
Time while receiving 1
Time while receiving 1
Time while receiving 1
Time while receiving 1
Time while receiving 1
Time while receiving 1
Time while receiving 1
Time while receiving 1
Time while receiving 1
Time while receiving 1
Time while receiving 1
Time while receiving 1
Time while receiving 1
Time while receiving 1
Time while receiving 1
Time while receiving 1
Time while receiving 1
Time while receiving 1
Time while receiving 1
Time while receiving 1
Time while receiving 2
Time while receiving 2
Time while receiving 2
Time while receiving 2
Time while receiving 2
Time while receiving 2
Time while receiving 2
Time while receiving 2
Time while receiving 2
Time while receiving 2
Time while receiving 2
Time while receiving 2
Time while receiving 2
Time while receiving 2
Time while receiving 2
Time while receiving 2
Time while receiving 2
Time while receiving 2
Time while receiving 2
Time while receiving 2
Time while receiving 2
Time while receiving 2
Time while receiving 2
Time while receiving 2
Time while receiving 3
Time while receiving 3
Time while receiving 3
Time while receiving 3
Time while receiving 3
Time while receiving 3
Time while receiving 3
Time while receiving 3
Time while receiving 3
Time while receiving 3
Time while receiving 3
Time while receiving 3
Time while receiving 3
Time while receiving 3
Time while receiving 3
Time while receiving 3
Time while receiving 3
Time while receiving 3
Time while receiving 3
Time while receiving 3
Time while receiving 3
Time while receiving 3
Time while receiving 3
Time while receiving 4
Time while receiving 4
Time while receiving 4
Time while receiving 4
Time while receiving 4
Time while receiving 4
Time while receiving 4
Time while receiving 4
Time while receiving 4
Time while receiving 4
Time while receiving 4
Time while receiving 4
Time while receiving 4
Time while receiving 4
Time while receiving 4
Time while receiving 4
Time while receiving 4
Time while receiving 4
Time while receiving 4
Time while receiving 4
Time while receiving 4
Time while receiving 4
Time while receiving 4
Time while receiving 4
Time while receiving 5
Time while receiving 5
Time while receiving 5
Time while receiving 5
Time while receiving 5
Time while receiving 5
Time while receiving 5
Time while receiving 5
Time while receiving 5
Time while receiving 5
Time while receiving 5
Time while receiving 5
Time while receiving 5
Time while receiving 5
Time while receiving 5
Time while receiving 5
Time while receiving 5
Time while receiving 5
Time while receiving 5
Time while receiving 5
Time while receiving 5
Time while receiving 5
Time while receiving 5
Time while receiving 5
Time while receiving 6
Time while receiving 6
Time while receiving 6
Time while receiving 6
